Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Wide (v17 - Frobenius normalized)
Parameters: 5,288,352
Batch size: 64
============================================================

  chunk 46 final batch loss = 0.316620
  chunk 47 final batch loss = 0.316196
  chunk 48 final batch loss = 0.350489
  chunk 49 final batch loss = 0.796696
  chunk 50 final batch loss = 0.722106
  chunk 51 final batch loss = 0.397095
  chunk 52 final batch loss = 0.271401
  chunk 53 final batch loss = 0.550022
  chunk 54 final batch loss = 0.410111
  chunk 55 final batch loss = 0.300219
  chunk 56 final batch loss = 0.764619
  chunk 57 final batch loss = 0.784402
  chunk 58 final batch loss = 0.713849
  chunk 59 final batch loss = 0.341982
  chunk 60 final batch loss = 0.697849
  chunk 61 final batch loss = 0.378629
  chunk 62 final batch loss = 0.338637
  chunk 63 final batch loss = 0.783492
  chunk 64 final batch loss = 0.787230
  chunk 65 final batch loss = 0.397004
  chunk 66 final batch loss = 0.696959
  chunk 67 final batch loss = 0.812477
  chunk 68 final batch loss = 0.546916
  chunk 69 final batch loss = 0.718443
  chunk 70 final batch loss = 0.296155
  chunk 71 final batch loss = 0.720772
  chunk 72 final batch loss = 0.748700
  chunk 73 final batch loss = 0.464983
  chunk 74 final batch loss = 0.578721
  chunk 75 final batch loss = 0.282612
  chunk 76 final batch loss = 0.247879
  chunk 77 final batch loss = 0.471511
  chunk 78 final batch loss = 0.815671
  chunk 79 final batch loss = 0.698585
Validation loss: 0.515781
Saved BEST checkpoint
Epoch 6
  chunk 0 final batch loss = 0.805726
  chunk 1 final batch loss = 0.803493
  chunk 2 final batch loss = 0.484332
  chunk 3 final batch loss = 0.376705
  chunk 4 final batch loss = 0.773162
  chunk 5 final batch loss = 0.591010
  chunk 6 final batch loss = 0.271968
  chunk 7 final batch loss = 0.500380
  chunk 8 final batch loss = 0.404469
  chunk 9 final batch loss = 0.733781
  chunk 10 final batch loss = 0.499825
  chunk 11 final batch loss = 0.824845
  chunk 12 final batch loss = 0.775348
  chunk 13 final batch loss = 0.761329
  chunk 14 final batch loss = 0.540184
  chunk 15 final batch loss = 0.344612
  chunk 16 final batch loss = 0.368913
  chunk 17 final batch loss = 0.479332
  chunk 18 final batch loss = 0.673406
  chunk 19 final batch loss = 0.297987
  chunk 20 final batch loss = 0.817475
  chunk 21 final batch loss = 0.730896
  chunk 22 final batch loss = 0.810881
  chunk 23 final batch loss = 0.734336
  chunk 24 final batch loss = 0.800821
  chunk 25 final batch loss = 0.382415
  chunk 26 final batch loss = 0.792481
  chunk 27 final batch loss = 0.247358
  chunk 28 final batch loss = 0.312342
  chunk 29 final batch loss = 0.822465
  chunk 30 final batch loss = 0.377832
  chunk 31 final batch loss = 0.350502
  chunk 32 final batch loss = 0.742534
