Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using STREAMING + FROBENIUS NORMALIZATION

============================================================
Training Transformer 8-qubit (v17 - Streaming + Frobenius)
Parameters: 1,611,072
Batch size: 8
============================================================

  batch 6500 loss = 0.935756
  batch 6600 loss = 0.935500
  batch 6700 loss = 0.937787
  batch 6800 loss = 0.867034
  batch 6900 loss = 0.880802
  batch 7000 loss = 0.853332
  batch 7100 loss = 0.934092
  batch 7200 loss = 0.862292
  batch 7300 loss = 0.936621
  batch 7400 loss = 0.877360
  batch 7500 loss = 0.870931
  batch 7600 loss = 0.819278
  batch 7700 loss = 0.837551
  batch 7800 loss = 0.837673
  batch 7900 loss = 0.870793
  batch 8000 loss = 0.875724
  batch 8100 loss = 0.932432
  batch 8200 loss = 0.918868
  batch 8300 loss = 0.862304
  batch 8400 loss = 0.939754
  batch 8500 loss = 0.937258
  batch 8600 loss = 0.906887
  batch 8700 loss = 0.936686
  batch 8800 loss = 0.847473
  batch 8900 loss = 0.864394
  batch 9000 loss = 0.847128
  batch 9100 loss = 0.846441
  batch 9200 loss = 0.936048
  batch 9300 loss = 0.871019
  batch 9400 loss = 0.886771
  batch 9500 loss = 0.895783
  batch 9600 loss = 0.932282
  batch 9700 loss = 0.872267
  batch 9800 loss = 0.934929
  batch 9900 loss = 0.929697
  batch 10000 loss = 0.935484
  Total batches: 10000, final loss = 0.935484
Validation loss: 0.912309
Saved BEST checkpoint
Epoch 8
  batch 100 loss = 0.896377
  batch 200 loss = 0.839073
  batch 300 loss = 0.880792
  batch 400 loss = 0.936998
  batch 500 loss = 0.935480
  batch 600 loss = 0.838092
  batch 700 loss = 0.933953
  batch 800 loss = 0.938493
  batch 900 loss = 0.942129
  batch 1000 loss = 0.932657
  batch 1100 loss = 0.919116
  batch 1200 loss = 0.902896
  batch 1300 loss = 0.926123
  batch 1400 loss = 0.847318
  batch 1500 loss = 0.825505
  batch 1600 loss = 0.851421
  batch 1700 loss = 0.891910
  batch 1800 loss = 0.841599
  batch 1900 loss = 0.934438
  batch 2000 loss = 0.933586
  batch 2100 loss = 0.860142
  batch 2200 loss = 0.892736
  batch 2300 loss = 0.869762
  batch 2400 loss = 0.935007
  batch 2500 loss = 0.935144
  batch 2600 loss = 0.855158
  batch 2700 loss = 0.877779
  batch 2800 loss = 0.841148
  batch 2900 loss = 0.856356
  batch 3000 loss = 0.859642
  batch 3100 loss = 0.939270
  batch 3200 loss = 0.884524
  batch 3300 loss = 0.935816
  batch 3400 loss = 0.932894
  batch 3500 loss = 0.934652
  batch 3600 loss = 0.936123
  batch 3700 loss = 0.846091
  batch 3800 loss = 0.847128
  batch 3900 loss = 0.844883
  batch 4000 loss = 0.829865
  batch 4100 loss = 0.931923
  batch 4200 loss = 0.886396
  batch 4300 loss = 0.852865
  batch 4400 loss = 0.937467
  batch 4500 loss = 0.936578
  batch 4600 loss = 0.936066
  batch 4700 loss = 0.872654
  batch 4800 loss = 0.936008
  batch 4900 loss = 0.882957
  batch 5000 loss = 0.892937
  batch 5100 loss = 0.860428
  batch 5200 loss = 0.921902
  batch 5300 loss = 0.921929
  batch 5400 loss = 0.937105
  batch 5500 loss = 0.934143
  batch 5600 loss = 0.933660
  batch 5700 loss = 0.823629
  batch 5800 loss = 0.891246
  batch 5900 loss = 0.912290
  batch 6000 loss = 0.882100
  batch 6100 loss = 0.841767
  batch 6200 loss = 0.866077
  batch 6300 loss = 0.872648
  batch 6400 loss = 0.938045
  batch 6500 loss = 0.927245
  batch 6600 loss = 0.887076
  batch 6700 loss = 0.854349
  batch 6800 loss = 0.867885
  batch 6900 loss = 0.931033
  batch 7000 loss = 0.931426
  batch 7100 loss = 0.869694
  batch 7200 loss = 0.907144
  batch 7300 loss = 0.909951
  batch 7400 loss = 0.907142
  batch 7500 loss = 0.878261
  batch 7600 loss = 0.938408
  batch 7700 loss = 0.899392
  batch 7800 loss = 0.936114
  batch 7900 loss = 0.857215
  batch 8000 loss = 0.868560
  batch 8100 loss = 0.926963
  batch 8200 loss = 0.861018
  batch 8300 loss = 0.847410
  batch 8400 loss = 0.939455
  batch 8500 loss = 0.923878
  batch 8600 loss = 0.936633
  batch 8700 loss = 0.925377
  batch 8800 loss = 0.919238
  batch 8900 loss = 0.938331
  batch 9000 loss = 0.938727
  batch 9100 loss = 0.924460
  batch 9200 loss = 0.927373
  batch 9300 loss = 0.935754
  batch 9400 loss = 0.890168
  batch 9500 loss = 0.883980
  batch 9600 loss = 0.841591
  batch 9700 loss = 0.857266
  batch 9800 loss = 0.931438
  batch 9900 loss = 0.919526
  batch 10000 loss = 0.911392
  Total batches: 10000, final loss = 0.911392
