Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Deep (v17 - Frobenius normalized)
Parameters: 2,152,800
Batch size: 64
============================================================

  chunk 13 final batch loss = 0.720575
  chunk 14 final batch loss = 0.513756
  chunk 15 final batch loss = 0.362571
  chunk 16 final batch loss = 0.350458
  chunk 17 final batch loss = 0.478473
  chunk 18 final batch loss = 0.706630
  chunk 19 final batch loss = 0.297176
  chunk 20 final batch loss = 0.818058
  chunk 21 final batch loss = 0.692058
  chunk 22 final batch loss = 0.789943
  chunk 23 final batch loss = 0.730801
  chunk 24 final batch loss = 0.804037
  chunk 25 final batch loss = 0.374333
  chunk 26 final batch loss = 0.803524
  chunk 27 final batch loss = 0.250249
  chunk 28 final batch loss = 0.280883
  chunk 29 final batch loss = 0.806751
  chunk 30 final batch loss = 0.323073
  chunk 31 final batch loss = 0.346982
  chunk 32 final batch loss = 0.743739
  chunk 33 final batch loss = 0.289736
  chunk 34 final batch loss = 0.442271
  chunk 35 final batch loss = 0.801967
  chunk 36 final batch loss = 0.747551
  chunk 37 final batch loss = 0.611041
  chunk 38 final batch loss = 0.286712
  chunk 39 final batch loss = 0.819968
  chunk 40 final batch loss = 0.305363
  chunk 41 final batch loss = 0.682662
  chunk 42 final batch loss = 0.310892
  chunk 43 final batch loss = 0.816326
  chunk 44 final batch loss = 0.368531
  chunk 45 final batch loss = 0.750733
  chunk 46 final batch loss = 0.288142
  chunk 47 final batch loss = 0.294880
  chunk 48 final batch loss = 0.359024
  chunk 49 final batch loss = 0.808213
  chunk 50 final batch loss = 0.709240
  chunk 51 final batch loss = 0.354645
  chunk 52 final batch loss = 0.265636
  chunk 53 final batch loss = 0.584861
  chunk 54 final batch loss = 0.365393
  chunk 55 final batch loss = 0.275509
  chunk 56 final batch loss = 0.747283
  chunk 57 final batch loss = 0.779384
  chunk 58 final batch loss = 0.712610
  chunk 59 final batch loss = 0.289585
  chunk 60 final batch loss = 0.712696
  chunk 61 final batch loss = 0.336666
  chunk 62 final batch loss = 0.322574
  chunk 63 final batch loss = 0.795144
  chunk 64 final batch loss = 0.801017
  chunk 65 final batch loss = 0.391131
  chunk 66 final batch loss = 0.667183
  chunk 67 final batch loss = 0.804478
  chunk 68 final batch loss = 0.508725
  chunk 69 final batch loss = 0.695745
  chunk 70 final batch loss = 0.282219
  chunk 71 final batch loss = 0.733099
  chunk 72 final batch loss = 0.754936
  chunk 73 final batch loss = 0.473640
  chunk 74 final batch loss = 0.578602
  chunk 75 final batch loss = 0.287537
  chunk 76 final batch loss = 0.233923
  chunk 77 final batch loss = 0.467399
  chunk 78 final batch loss = 0.812545
  chunk 79 final batch loss = 0.672224
Validation loss: 0.502868
Saved BEST checkpoint
Epoch 8
  chunk 0 final batch loss = 0.811163
  chunk 1 final batch loss = 0.807339
  chunk 2 final batch loss = 0.453624
  chunk 3 final batch loss = 0.341694
  chunk 4 final batch loss = 0.783227
  chunk 5 final batch loss = 0.574118
  chunk 6 final batch loss = 0.245515
  chunk 7 final batch loss = 0.464019
  chunk 8 final batch loss = 0.378608
  chunk 9 final batch loss = 0.665030
  chunk 10 final batch loss = 0.508555
  chunk 11 final batch loss = 0.820702
  chunk 12 final batch loss = 0.762164
  chunk 13 final batch loss = 0.746544
  chunk 14 final batch loss = 0.495411
  chunk 15 final batch loss = 0.359644
  chunk 16 final batch loss = 0.316484
  chunk 17 final batch loss = 0.468389
  chunk 18 final batch loss = 0.698459
  chunk 19 final batch loss = 0.297687
  chunk 20 final batch loss = 0.801182
  chunk 21 final batch loss = 0.723651
  chunk 22 final batch loss = 0.813374
  chunk 23 final batch loss = 0.723945
  chunk 24 final batch loss = 0.798675
  chunk 25 final batch loss = 0.350311
  chunk 26 final batch loss = 0.800791
  chunk 27 final batch loss = 0.254583
  chunk 28 final batch loss = 0.294652
  chunk 29 final batch loss = 0.821367
  chunk 30 final batch loss = 0.322326
  chunk 31 final batch loss = 0.337039
  chunk 32 final batch loss = 0.767190
  chunk 33 final batch loss = 0.272414
  chunk 34 final batch loss = 0.492192
  chunk 35 final batch loss = 0.803687
  chunk 36 final batch loss = 0.710421
  chunk 37 final batch loss = 0.588487
  chunk 38 final batch loss = 0.299153
  chunk 39 final batch loss = 0.821158
  chunk 40 final batch loss = 0.269154
  chunk 41 final batch loss = 0.729296
  chunk 42 final batch loss = 0.279169
  chunk 43 final batch loss = 0.804643
  chunk 44 final batch loss = 0.391968
  chunk 45 final batch loss = 0.755328
  chunk 46 final batch loss = 0.306182
  chunk 47 final batch loss = 0.287248
  chunk 48 final batch loss = 0.347029
  chunk 49 final batch loss = 0.812977
  chunk 50 final batch loss = 0.721035
  chunk 51 final batch loss = 0.335524
  chunk 52 final batch loss = 0.260244
  chunk 53 final batch loss = 0.568808
  chunk 54 final batch loss = 0.372950
  chunk 55 final batch loss = 0.288732
  chunk 56 final batch loss = 0.744856
  chunk 57 final batch loss = 0.735936
  chunk 58 final batch loss = 0.697153
  chunk 59 final batch loss = 0.310226
  chunk 60 final batch loss = 0.700562
  chunk 61 final batch loss = 0.383539
  chunk 62 final batch loss = 0.342868
  chunk 63 final batch loss = 0.802779
  chunk 64 final batch loss = 0.797799
  chunk 65 final batch loss = 0.411873
  chunk 66 final batch loss = 0.632867
  chunk 67 final batch loss = 0.813444
  chunk 68 final batch loss = 0.479844
  chunk 69 final batch loss = 0.667730
  chunk 70 final batch loss = 0.279915
  chunk 71 final batch loss = 0.723294
  chunk 72 final batch loss = 0.770928
  chunk 73 final batch loss = 0.456103
  chunk 74 final batch loss = 0.573093
  chunk 75 final batch loss = 0.283053
  chunk 76 final batch loss = 0.251187
  chunk 77 final batch loss = 0.467053
  chunk 78 final batch loss = 0.799601
  chunk 79 final batch loss = 0.646707
Validation loss: 0.497047
Saved BEST checkpoint
Epoch 9
